;cep;bairro
969;91920-003;Camaquã
970;91750-083;Campo Novo
971;91712-202;Cascata
972;91710-550;Coronel Aparício Borges
973;90610-330;Jardim Botânico
974;91330-610;Vila Jardim
975;91790-401;Restinga
976;91787-631;Lami
977;91320-360;Vila Jardim
978;91430-560;Jardim Carvalho
979;91570-261;Lomba do Pinheiro
980;90840-291;Nonoai
981;90840-090;Santa Tereza
982;90820-300;Cristal
983;90880-550;Santa Tereza
984;90843-330;Nonoai
985;90870-061;Glória
986;91420-650;Bom Jesus
987;91320-400;Vila Jardim
988;91320-440;Vila Jardim
989;91510-301;Coronel Aparício Borges
990;91760-631;Jardim Isabel
991;90830-601;Cristal
992;91910-690;Camaquã
993;91740-121;Cavalhada
994;91920-003;Camaquã
995;91750-083;Campo Novo
996;91712-202;Cascata
997;91710-550;Coronel Aparício Borges
998;90610-330;Jardim Botânico
999;91330-610;Vila Jardim
1000;91790-401;Restinga
1001;91787-631;Lami
1002;91320-360;Vila Jardim
1003;91430-560;Jardim Carvalho
1004;91570-261;Lomba do Pinheiro
1005;90840-291;Nonoai
1006;90840-090;Santa Tereza
1007;90820-300;Cristal
1008;90880-550;Santa Tereza
1009;90843-330;Nonoai
1010;90870-061;Glória
1011;91420-650;Bom Jesus
1012;91320-400;Vila Jardim
1013;91320-440;Vila Jardim
1014;91510-301;Coronel Aparício Borges
1015;91760-631;Jardim Isabel
1016;90830-601;Cristal
1017;91910-690;Camaquã
1018;91740-121;Cavalhada
1019;91920-003;Camaquã
1020;91750-083;Campo Novo
1021;91712-202;Cascata
1022;91710-550;Coronel Aparício Borges
1023;90610-330;Jardim Botânico
1024;91330-610;Vila Jardim
1025;91790-401;Restinga
1026;91787-631;Lami
1027;91320-360;Vila Jardim
1028;91430-560;Jardim Carvalho
1029;91570-261;Lomba do Pinheiro
1030;90840-291;Nonoai
1031;90840-090;Santa Tereza
1032;90820-300;Cristal
1033;90880-550;Santa Tereza
1034;90843-330;Nonoai
1035;90870-061;Glória
1036;91420-650;Bom Jesus
1037;91320-400;Vila Jardim
1038;91320-440;Vila Jardim
1039;91510-301;Coronel Aparício Borges
1040;91760-631;Jardim Isabel
1041;90830-601;Cristal
1042;91910-690;Camaquã
1043;91740-121;Cavalhada
1044;91920-003;Camaquã
1045;91750-083;Campo Novo
1046;91712-202;Cascata
1047;91710-550;Coronel Aparício Borges
1048;90610-330;Jardim Botânico
1049;91330-610;Vila Jardim
1050;91790-401;Restinga
1051;91787-631;Lami
1052;91320-360;Vila Jardim
1053;91430-560;Jardim Carvalho
1054;91570-261;Lomba do Pinheiro
1055;90840-291;Nonoai
1056;90840-090;Santa Tereza
1057;90820-300;Cristal
1058;90880-550;Santa Tereza
1059;90843-330;Nonoai
1060;90870-061;Glória
1061;91420-650;Bom Jesus
1062;91320-400;Vila Jardim
1063;91320-440;Vila Jardim
1064;91510-301;Coronel Aparício Borges
1065;91760-631;Jardim Isabel
1066;90830-601;Cristal
1067;91910-690;Camaquã
1068;91740-121;Cavalhada
1069;91920-003;Camaquã
1070;91750-083;Campo Novo
1071;91712-202;Cascata
1072;91710-550;Coronel Aparício Borges
1073;90610-330;Jardim Botânico
1074;91330-610;Vila Jardim
1075;91790-401;Restinga
1076;91787-631;Lami
1077;91320-360;Vila Jardim
1078;91430-560;Jardim Carvalho
1079;91570-261;Lomba do Pinheiro
1080;90840-291;Nonoai
1081;90840-090;Santa Tereza
1082;90820-300;Cristal
1083;90880-550;Santa Tereza
1084;90843-330;Nonoai
1085;90870-061;Glória
1086;91420-650;Bom Jesus
1087;91320-400;Vila Jardim
1088;91320-440;Vila Jardim
1089;91510-301;Coronel Aparício Borges
1090;91760-631;Jardim Isabel
1091;90830-601;Cristal
1092;91910-690;Camaquã
1093;91740-121;Cavalhada
1094;91920-003;Camaquã
1095;91750-083;Campo Novo
1096;91712-202;Cascata
1097;91710-550;Coronel Aparício Borges
1098;90610-330;Jardim Botânico
1099;91330-610;Vila Jardim
1100;91790-401;Restinga
1101;91787-631;Lami
1102;91320-360;Vila Jardim
1103;91430-560;Jardim Carvalho
1104;91570-261;Lomba do Pinheiro
1105;90840-291;Nonoai
1106;90840-090;Santa Tereza
1107;90820-300;Cristal
1108;90880-550;Santa Tereza
1109;90843-330;Nonoai
1110;90870-061;Glória
1111;91420-650;Bom Jesus
1112;91320-400;Vila Jardim
1113;91320-440;Vila Jardim
1114;91510-301;Coronel Aparício Borges
1115;91760-631;Jardim Isabel
1116;90830-601;Cristal
1117;91910-690;Camaquã
1118;91740-121;Cavalhada
1119;91920-003;Camaquã
1120;91750-083;Campo Novo
1121;91712-202;Cascata
1122;91710-550;Coronel Aparício Borges
1123;90610-330;Jardim Botânico
1124;91330-610;Vila Jardim
1125;91790-401;Restinga
1126;91787-631;Lami
1127;91320-360;Vila Jardim
1128;91430-560;Jardim Carvalho
1129;91570-261;Lomba do Pinheiro
1130;90840-291;Nonoai
1131;90840-090;Santa Tereza
1132;90820-300;Cristal
1133;90880-550;Santa Tereza
1134;90843-330;Nonoai
1135;90870-061;Glória
1136;91420-650;Bom Jesus
1137;91320-400;Vila Jardim
1138;91320-440;Vila Jardim
1139;91510-301;Coronel Aparício Borges
1140;91760-631;Jardim Isabel
1141;90830-601;Cristal
1142;91910-690;Camaquã
1143;91740-121;Cavalhada
1144;91920-003;Camaquã
1145;91750-083;Campo Novo
1146;91712-202;Cascata
1147;91710-550;Coronel Aparício Borges
1148;90610-330;Jardim Botânico
1149;91330-610;Vila Jardim
1150;91790-401;Restinga
1151;91787-631;Lami
1152;91320-360;Vila Jardim
1153;91430-560;Jardim Carvalho
1154;91570-261;Lomba do Pinheiro
1155;90840-291;Nonoai
1156;90840-090;Santa Tereza
1157;90820-300;Cristal
1158;90880-550;Santa Tereza
1159;90843-330;Nonoai
1160;90870-061;Glória
1161;91420-650;Bom Jesus
1162;91320-400;Vila Jardim
1163;91320-440;Vila Jardim
1164;91510-301;Coronel Aparício Borges
1165;91760-631;Jardim Isabel
1166;90830-601;Cristal
1167;91910-690;Camaquã
1168;91740-121;Cavalhada
1169;91920-003;Camaquã
1170;91750-083;Campo Novo
1171;91712-202;Cascata
1172;91710-550;Coronel Aparício Borges
1173;90610-330;Jardim Botânico
1174;91330-610;Vila Jardim
1175;91790-401;Restinga
1176;91787-631;Lami
1177;91320-360;Vila Jardim
1178;91430-560;Jardim Carvalho
1179;91570-261;Lomba do Pinheiro
1180;90840-291;Nonoai
1181;90840-090;Santa Tereza
1182;90820-300;Cristal
1183;90880-550;Santa Tereza
1184;90843-330;Nonoai
1185;90870-061;Glória
1186;91420-650;Bom Jesus
1187;91320-400;Vila Jardim
1188;91320-440;Vila Jardim
1189;91510-301;Coronel Aparício Borges
1190;91760-631;Jardim Isabel
1191;90830-601;Cristal
1192;91910-690;Camaquã
1193;91740-121;Cavalhada
1194;91920-003;Camaquã
1195;91750-083;Campo Novo
1196;91712-202;Cascata
1197;91710-550;Coronel Aparício Borges
1198;90610-330;Jardim Botânico
1199;91330-610;Vila Jardim
1200;91790-401;Restinga
1201;91787-631;Lami
1202;91320-360;Vila Jardim
1203;91430-560;Jardim Carvalho
1204;91570-261;Lomba do Pinheiro
1205;90840-291;Nonoai
1206;90840-090;Santa Tereza
1207;90820-300;Cristal
1208;90880-550;Santa Tereza
1209;90843-330;Nonoai
1210;90870-061;Glória
1211;91420-650;Bom Jesus
1212;91320-400;Vila Jardim
1213;91320-440;Vila Jardim
1214;91510-301;Coronel Aparício Borges
1215;91760-631;Jardim Isabel
1216;90830-601;Cristal
1217;91910-690;Camaquã
1218;91740-121;Cavalhada
1219;91920-003;Camaquã
1220;91750-083;Campo Novo
1221;91712-202;Cascata
1222;91710-550;Coronel Aparício Borges
1223;90610-330;Jardim Botânico
1224;91330-610;Vila Jardim
1225;91790-401;Restinga
1226;91787-631;Lami
1227;91320-360;Vila Jardim
1228;91430-560;Jardim Carvalho
1229;91570-261;Lomba do Pinheiro
1230;90840-291;Nonoai
1231;90840-090;Santa Tereza
1232;90820-300;Cristal
1233;90880-550;Santa Tereza
1234;90843-330;Nonoai
1235;90870-061;Glória
1236;91420-650;Bom Jesus
1237;91320-400;Vila Jardim
1238;91320-440;Vila Jardim
1239;91510-301;Coronel Aparício Borges
1240;91760-631;Jardim Isabel
1241;90830-601;Cristal
1242;91910-690;Camaquã
1243;91740-121;Cavalhada
1244;91920-003;Camaquã
1245;91750-083;Campo Novo
1246;91712-202;Cascata
1247;91710-550;Coronel Aparício Borges
1248;90610-330;Jardim Botânico
1249;91330-610;Vila Jardim
1250;91790-401;Restinga
1251;91787-631;Lami
1252;91320-360;Vila Jardim
1253;91430-560;Jardim Carvalho
1254;91570-261;Lomba do Pinheiro
1255;90840-291;Nonoai
1256;90840-090;Santa Tereza
1257;90820-300;Cristal
1258;90880-550;Santa Tereza
1259;90843-330;Nonoai
1260;90870-061;Glória
1261;91420-650;Bom Jesus
1262;91320-400;Vila Jardim
1263;91320-440;Vila Jardim
1264;91510-301;Coronel Aparício Borges
1265;91760-631;Jardim Isabel
1266;90830-601;Cristal
1267;91910-690;Camaquã
1268;91740-121;Cavalhada
1269;91920-003;Camaquã
1270;91750-083;Campo Novo
1271;91712-202;Cascata
1272;91710-550;Coronel Aparício Borges
1273;90610-330;Jardim Botânico
1274;91330-610;Vila Jardim
1275;91790-401;Restinga
1276;91787-631;Lami
1277;91320-360;Vila Jardim
1278;91430-560;Jardim Carvalho
1279;91570-261;Lomba do Pinheiro
1280;90840-291;Nonoai
1281;90840-090;Santa Tereza
1282;90820-300;Cristal
1283;90880-550;Santa Tereza
1284;90843-330;Nonoai
1285;90870-061;Glória
1286;91420-650;Bom Jesus
1287;91320-400;Vila Jardim
1288;91320-440;Vila Jardim
1289;91510-301;Coronel Aparício Borges
1290;91760-631;Jardim Isabel
1291;90830-601;Cristal
1292;91910-690;Camaquã
1293;91740-121;Cavalhada
1294;91920-003;Camaquã
1295;91750-083;Campo Novo
1296;91712-202;Cascata
1297;91710-550;Coronel Aparício Borges
1298;90610-330;Jardim Botânico
1299;91330-610;Vila Jardim
1300;91790-401;Restinga
1301;91787-631;Lami
1302;91320-360;Vila Jardim
1303;91430-560;Jardim Carvalho
1304;91570-261;Lomba do Pinheiro
1305;90840-291;Nonoai
1306;90840-090;Santa Tereza
1307;90820-300;Cristal
1308;90880-550;Santa Tereza
1309;90843-330;Nonoai
1310;90870-061;Glória
1311;91420-650;Bom Jesus
1312;91320-400;Vila Jardim
1313;91320-440;Vila Jardim
1314;91510-301;Coronel Aparício Borges
1315;91760-631;Jardim Isabel
1316;90830-601;Cristal
1317;91910-690;Camaquã
1318;91740-121;Cavalhada
1319;91920-003;Camaquã
1320;91750-083;Campo Novo
1321;91712-202;Cascata
1322;91710-550;Coronel Aparício Borges
1323;90610-330;Jardim Botânico
1324;91330-610;Vila Jardim
1325;91790-401;Restinga
1326;91787-631;Lami
1327;91320-360;Vila Jardim
1328;91430-560;Jardim Carvalho
1329;91570-261;Lomba do Pinheiro
1330;90840-291;Nonoai
1331;90840-090;Santa Tereza
1332;90820-300;Cristal
1333;90880-550;Santa Tereza
1334;90843-330;Nonoai
1335;90870-061;Glória
1336;91420-650;Bom Jesus
1337;91320-400;Vila Jardim
1338;91320-440;Vila Jardim
1339;91510-301;Coronel Aparício Borges
1340;91760-631;Jardim Isabel
1341;90830-601;Cristal
1342;91910-690;Camaquã
1343;91740-121;Cavalhada
1344;91920-003;Camaquã
1345;91750-083;Campo Novo
1346;91712-202;Cascata
1347;91710-550;Coronel Aparício Borges
1348;90610-330;Jardim Botânico
1349;91330-610;Vila Jardim
1350;91790-401;Restinga
1351;91787-631;Lami
1352;91320-360;Vila Jardim
1353;91430-560;Jardim Carvalho
1354;91570-261;Lomba do Pinheiro
1355;90840-291;Nonoai
1356;90840-090;Santa Tereza
1357;90820-300;Cristal
1358;90880-550;Santa Tereza
1359;90843-330;Nonoai
1360;90870-061;Glória
1361;91420-650;Bom Jesus
1362;91320-400;Vila Jardim
1363;91320-440;Vila Jardim
1364;91510-301;Coronel Aparício Borges
1365;91760-631;Jardim Isabel
1366;90830-601;Cristal
1367;91910-690;Camaquã
1368;91740-121;Cavalhada
1369;91920-003;Camaquã
1370;91750-083;Campo Novo
1371;91712-202;Cascata
1372;91710-550;Coronel Aparício Borges
1373;90610-330;Jardim Botânico
1374;91330-610;Vila Jardim
1375;91790-401;Restinga
1376;91787-631;Lami
1377;91320-360;Vila Jardim
1378;91430-560;Jardim Carvalho
1379;91570-261;Lomba do Pinheiro
1380;90840-291;Nonoai
1381;90840-090;Santa Tereza
1382;90820-300;Cristal
1383;90880-550;Santa Tereza
1384;90843-330;Nonoai
1385;90870-061;Glória
1386;91420-650;Bom Jesus
1387;91320-400;Vila Jardim
1388;91320-440;Vila Jardim
1389;91510-301;Coronel Aparício Borges
1390;91760-631;Jardim Isabel
1391;90830-601;Cristal
1392;91910-690;Camaquã
1393;91740-121;Cavalhada
1394;91920-003;Camaquã
1395;91750-083;Campo Novo
1396;91712-202;Cascata
1397;91710-550;Coronel Aparício Borges
1398;90610-330;Jardim Botânico
1399;91330-610;Vila Jardim
1400;91790-401;Restinga
1401;91787-631;Lami
1402;91320-360;Vila Jardim
1403;91430-560;Jardim Carvalho
1404;91570-261;Lomba do Pinheiro
1405;90840-291;Nonoai
1406;90840-090;Santa Tereza
1407;90820-300;Cristal
1408;90880-550;Santa Tereza
1409;90843-330;Nonoai
1410;90870-061;Glória
1411;91420-650;Bom Jesus
1412;91320-400;Vila Jardim
1413;91320-440;Vila Jardim
1414;91510-301;Coronel Aparício Borges
1415;91760-631;Jardim Isabel
1416;90830-601;Cristal
1417;91910-690;Camaquã
1418;91740-121;Cavalhada
1419;91920-003;Camaquã
1420;91750-083;Campo Novo
1421;91712-202;Cascata
1422;91710-550;Coronel Aparício Borges
1423;90610-330;Jardim Botânico
1424;91330-610;Vila Jardim
1425;91790-401;Restinga
1426;91787-631;Lami
1427;91320-360;Vila Jardim
1428;91430-560;Jardim Carvalho
1429;91570-261;Lomba do Pinheiro
1430;90840-291;Nonoai
1431;90840-090;Santa Tereza
1432;90820-300;Cristal
1433;90880-550;Santa Tereza
1434;90843-330;Nonoai
1435;90870-061;Glória
1436;91420-650;Bom Jesus
1437;91320-400;Vila Jardim
1438;91320-440;Vila Jardim
1439;91510-301;Coronel Aparício Borges
1440;91760-631;Jardim Isabel
1441;90830-601;Cristal
1442;91910-690;Camaquã
1443;91740-121;Cavalhada
1444;91920-003;Camaquã
1445;91750-083;Campo Novo
1446;91712-202;Cascata
1447;91710-550;Coronel Aparício Borges
1448;90610-330;Jardim Botânico
1449;91330-610;Vila Jardim
1450;91790-401;Restinga
1451;91787-631;Lami
1452;91320-360;Vila Jardim
1453;91430-560;Jardim Carvalho
1454;91570-261;Lomba do Pinheiro
1455;90840-291;Nonoai
1456;90840-090;Santa Tereza
1457;90820-300;Cristal
1458;90880-550;Santa Tereza
1459;90843-330;Nonoai
1460;90870-061;Glória
1461;91420-650;Bom Jesus
1462;91320-400;Vila Jardim
1463;91320-440;Vila Jardim
1464;91510-301;Coronel Aparício Borges
1465;91760-631;Jardim Isabel
1466;90830-601;Cristal
1467;91910-690;Camaquã
1468;91740-121;Cavalhada
1469;91920-003;Camaquã
1470;91750-083;Campo Novo
1471;91712-202;Cascata
1472;91710-550;Coronel Aparício Borges
1473;90610-330;Jardim Botânico
1474;91330-610;Vila Jardim
1475;91790-401;Restinga
1476;91787-631;Lami
1477;91320-360;Vila Jardim
1478;91430-560;Jardim Carvalho
1479;91570-261;Lomba do Pinheiro
1480;90840-291;Nonoai
1481;90840-090;Santa Tereza
1482;90820-300;Cristal
1483;90880-550;Santa Tereza
1484;90843-330;Nonoai
1485;90870-061;Glória
1486;91420-650;Bom Jesus
1487;91320-400;Vila Jardim
1488;91320-440;Vila Jardim
1489;91510-301;Coronel Aparício Borges
1490;91760-631;Jardim Isabel
1491;90830-601;Cristal
1492;91910-690;Camaquã
1493;91740-121;Cavalhada
1494;91920-003;Camaquã
1495;91750-083;Campo Novo
1496;91712-202;Cascata
1497;91710-550;Coronel Aparício Borges
1498;90610-330;Jardim Botânico
1499;91330-610;Vila Jardim
1500;91790-401;Restinga
1501;91787-631;Lami
1502;91320-360;Vila Jardim
1503;91430-560;Jardim Carvalho
1504;91570-261;Lomba do Pinheiro
1505;90840-291;Nonoai
1506;90840-090;Santa Tereza
1507;90820-300;Cristal
1508;90880-550;Santa Tereza
1509;90843-330;Nonoai
1510;90870-061;Glória
1511;91420-650;Bom Jesus
1512;91320-400;Vila Jardim
1513;91320-440;Vila Jardim
1514;91510-301;Coronel Aparício Borges
1515;91760-631;Jardim Isabel
1516;90830-601;Cristal
1517;91910-690;Camaquã
1518;91740-121;Cavalhada
1519;91920-003;Camaquã
1520;91750-083;Campo Novo
1521;91712-202;Cascata
1522;91710-550;Coronel Aparício Borges
1523;90610-330;Jardim Botânico
1524;91330-610;Vila Jardim
1525;91790-401;Restinga
1526;91787-631;Lami
1527;91320-360;Vila Jardim
1528;91430-560;Jardim Carvalho
1529;91570-261;Lomba do Pinheiro
1530;90840-291;Nonoai
1531;90840-090;Santa Tereza
1532;90820-300;Cristal
1533;90880-550;Santa Tereza
1534;90843-330;Nonoai
1535;90870-061;Glória
1536;91420-650;Bom Jesus
1537;91320-400;Vila Jardim
1538;91320-440;Vila Jardim
1539;91510-301;Coronel Aparício Borges
1540;91760-631;Jardim Isabel
1541;90830-601;Cristal
1542;91910-690;Camaquã
1543;91740-121;Cavalhada
1544;91920-003;Camaquã
1545;91750-083;Campo Novo
1546;91712-202;Cascata
1547;91710-550;Coronel Aparício Borges
1548;90610-330;Jardim Botânico
1549;91330-610;Vila Jardim
1550;91790-401;Restinga
1551;91787-631;Lami
1552;91320-360;Vila Jardim
1553;91430-560;Jardim Carvalho
1554;91570-261;Lomba do Pinheiro
1555;90840-291;Nonoai
1556;90840-090;Santa Tereza
1557;90820-300;Cristal
1558;90880-550;Santa Tereza
1559;90843-330;Nonoai
1560;90870-061;Glória
1561;91420-650;Bom Jesus
1562;91320-400;Vila Jardim
1563;91320-440;Vila Jardim
1564;91510-301;Coronel Aparício Borges
1565;91760-631;Jardim Isabel
1566;90830-601;Cristal
1567;91910-690;Camaquã
1568;91740-121;Cavalhada
1569;91920-003;Camaquã
1570;91750-083;Campo Novo
1571;91712-202;Cascata
1572;91710-550;Coronel Aparício Borges
1573;90610-330;Jardim Botânico
1574;91330-610;Vila Jardim
1575;91790-401;Restinga
1576;91787-631;Lami
1577;91320-360;Vila Jardim
1578;91430-560;Jardim Carvalho
1579;91570-261;Lomba do Pinheiro
1580;90840-291;Nonoai
1581;90840-090;Santa Tereza
1582;90820-300;Cristal
1583;90880-550;Santa Tereza
1584;90843-330;Nonoai
1585;90870-061;Glória
1586;91420-650;Bom Jesus
1587;91320-400;Vila Jardim
1588;91320-440;Vila Jardim
1589;91510-301;Coronel Aparício Borges
1590;91760-631;Jardim Isabel
1591;90830-601;Cristal
1592;91910-690;Camaquã
1593;91740-121;Cavalhada
1594;91920-003;Camaquã
1595;91750-083;Campo Novo
1596;91712-202;Cascata
1597;91710-550;Coronel Aparício Borges
1598;90610-330;Jardim Botânico
1599;91330-610;Vila Jardim
1600;91790-401;Restinga
1601;91787-631;Lami
1602;91320-360;Vila Jardim
1603;91430-560;Jardim Carvalho
1604;91570-261;Lomba do Pinheiro
1605;90840-291;Nonoai
1606;90840-090;Santa Tereza
1607;90820-300;Cristal
1608;90880-550;Santa Tereza
1609;90843-330;Nonoai
1610;90870-061;Glória
1611;91420-650;Bom Jesus
1612;91320-400;Vila Jardim
1613;91320-440;Vila Jardim
1614;91510-301;Coronel Aparício Borges
1615;91760-631;Jardim Isabel
1616;90830-601;Cristal
1617;91910-690;Camaquã
1618;91740-121;Cavalhada
1619;91920-003;Camaquã
1620;91750-083;Campo Novo
1621;91712-202;Cascata
1622;91710-550;Coronel Aparício Borges
1623;90610-330;Jardim Botânico
1624;91330-610;Vila Jardim
1625;91790-401;Restinga
1626;91787-631;Lami
1627;91320-360;Vila Jardim
1628;91430-560;Jardim Carvalho
1629;91570-261;Lomba do Pinheiro
1630;90840-291;Nonoai
1631;90840-090;Santa Tereza
1632;90820-300;Cristal
1633;90880-550;Santa Tereza
1634;90843-330;Nonoai
1635;90870-061;Glória
1636;91420-650;Bom Jesus
1637;91320-400;Vila Jardim
1638;91320-440;Vila Jardim
1639;91510-301;Coronel Aparício Borges
1640;91760-631;Jardim Isabel
1641;90830-601;Cristal
1642;91910-690;Camaquã
1643;91740-121;Cavalhada
1644;91920-003;Camaquã
1645;91750-083;Campo Novo
1646;91712-202;Cascata
1647;91710-550;Coronel Aparício Borges
1648;90610-330;Jardim Botânico
1649;91330-610;Vila Jardim
1650;91790-401;Restinga
1651;91787-631;Lami
1652;91320-360;Vila Jardim
1653;91430-560;Jardim Carvalho
1654;91570-261;Lomba do Pinheiro
1655;90840-291;Nonoai
1656;90840-090;Santa Tereza
1657;90820-300;Cristal
1658;90880-550;Santa Tereza
1659;90843-330;Nonoai
1660;90870-061;Glória
1661;91420-650;Bom Jesus
1662;91320-400;Vila Jardim
1663;91320-440;Vila Jardim
1664;91510-301;Coronel Aparício Borges
1665;91760-631;Jardim Isabel
1666;90830-601;Cristal
1667;91910-690;Camaquã
1668;91740-121;Cavalhada
1669;91920-003;Camaquã
1670;91750-083;Campo Novo
1671;91712-202;Cascata
1672;91710-550;Coronel Aparício Borges
1673;90610-330;Jardim Botânico
1674;91330-610;Vila Jardim
1675;91790-401;Restinga
1676;91787-631;Lami
1677;91320-360;Vila Jardim
1678;91430-560;Jardim Carvalho
1679;91570-261;Lomba do Pinheiro
1680;90840-291;Nonoai
1681;90840-090;Santa Tereza
1682;90820-300;Cristal
1683;90880-550;Santa Tereza
1684;90843-330;Nonoai
1685;90870-061;Glória
1686;91420-650;Bom Jesus
1687;91320-400;Vila Jardim
1688;91320-440;Vila Jardim
1689;91510-301;Coronel Aparício Borges
1690;91760-631;Jardim Isabel
1691;90830-601;Cristal
1692;91910-690;Camaquã
1693;91740-121;Cavalhada
1694;91920-003;Camaquã
1695;91750-083;Campo Novo
1696;91712-202;Cascata
1697;91710-550;Coronel Aparício Borges
1698;90610-330;Jardim Botânico
1699;91330-610;Vila Jardim
1700;91790-401;Restinga
1701;91787-631;Lami
1702;91320-360;Vila Jardim
1703;91430-560;Jardim Carvalho
1704;91570-261;Lomba do Pinheiro
1705;90840-291;Nonoai
1706;90840-090;Santa Tereza
1707;90820-300;Cristal
1708;90880-550;Santa Tereza
1709;90843-330;Nonoai
1710;90870-061;Glória
1711;91420-650;Bom Jesus
1712;91320-400;Vila Jardim
1713;91320-440;Vila Jardim
